case_id,year,city,state
802,2015,KENNESAW, GEORGIA
803,2015,SEATTLE, WASHINGTON
804,2015,BIRMINGHAM, ALABAMA
805,2015,EVERGREEN PARK, ILLINOIS
806,2015,NEW YORK, NEW YORK
807,2015,COLLEGE PARK, MARYLAND
808,2015,HOUSTON, TEXAS
809,2015,NEW YORK, NEW YORK
810,2015,SANTA MONICA, CALIFORNIA
811,2015,ST. LOUIS, MISSOURI
812,2015,ODESSA, TEXAS
813,2015,TEMPE, ARIZONA
814,2015,PARK RIDGE, NEW JERSEY
815,2015,MIAMI, FLORIDA
816,2015,REDMOND, WASHINGTON
817,2015,SAN DIEGO, CALIFORNIA
818,2015,NEW BRUNSWICK, NEW JERSEY
819,2015,NEW YORK, NEW YORK
820,2015,SUNNYVALE, CALIFORNIA
821,2015,SARATOGA SPRINGS, NEW YORK
822,2015,PALO ALTO, CALIFORNIA
823,2015,REDMOND, WASHINGTON
824,2015,SEATTLE, WASHINGTON
825,2015,BOSTON, MASSACHUSETTS
826,2015,DALLAS, TEXAS
827,2015,SUNNYVALE, CALIFORNIA
828,2015,DALLAS, TEXAS
829,2015,TUSCALOOSA, ALABAMA
830,2015,ATLANTA, GEORGIA
831,2015,MIAMI, FLORIDA
832,2015,CAMBRIDGE, MASSACHUSETTS
833,2015,BOSTON, MASSACHUSETTS
834,2015,HOUSTON, TEXAS
835,2015,PHILADELPHIA, PENNSYLVANIA
836,2015,MIAMI, FLORIDA
837,2015,HOUSTON, TEXAS
838,2015,SAN MATEO, CALIFORNIA
839,2015,DALLAS, TEXAS
840,2015,CEDAR RAPIDS, IOWA
841,2015,MCLEAN, VIRGINIA
842,2015,EDEN PRAIRIE, MINNESOTA
843,2015,NEW YORK, NEW YORK
844,2015,REDWOOD SHORES, CALIFORNIA
845,2015,PISCATAWAY, NEW JERSEY
846,2015,CHARLOTTE, NORTH CAROLINA
847,2015,BROOKLYN, NEW YORK
848,2015,NEW YORK, NEW YORK
849,2015,NEW YORK, NEW YORK
850,2015,ATLANTIS, FLORIDA
